,team,YUSAG_coef
195,AZU,-5.303517679670949
196,NOR,-5.596370118688918
197,Monmouth,-5.794689121782717
198,Eastern Ill.,-5.9318425602103275
199,Tennessee St.,-6.3808447844266105
200,Bryant,-6.434504284847167
201,TRU,-7.158420051319854
202,Western Caro.,-7.407064751158153
203,Charlotte,-7.531813723724174
204,Murray St.,-7.700265807710293
205,Drake,-7.789214452744065
206,Florida A&M,-7.861214866612503
207,Dayton,-8.040341005206978
208,SFA,-8.83177763599165
209,Charleston So.,-9.252220814878894
210,CAT,-9.35790184955339
211,Eastern Ky.,-9.419798137610698
212,Saint Francis (PA),-9.529999212027123
213,Howard,-10.707885672763073
214,Grambling,-11.182327179040405
215,Bethune-Cookman,-11.771578957999028
216,CEN,-11.986130205999299
217,NBY,-12.151012796514916
218,South Carolina St.,-12.493262991504725
219,Campbell,-12.772371264411593
220,ANG,-12.839146696476906
221,Alabama A&M,-12.969948383719974
222,TXST,-13.515863649773834
223,Georgetown,-14.740085085178197
224,Morgan St.,-14.872746352728285
225,LAN,-15.786722907292837
226,ODM,-16.92339066163007
227,Wagner,-17.08621767010643
228,Brown,-17.160604532006893
229,Savannah St.,-17.887209243039923
230,Lehigh,-18.19283178579241
231,FLTH,-18.370729754834855
232,KYS,-18.529977545884346
233,Houston Baptist,-18.583033320575865
234,Norfolk St.,-18.602339264539005
235,VMI,-18.72325794572931
236,Marist,-18.749334637097196
237,Fordham,-19.06687894699693
238,Jackson St.,-19.217313882938527
239,BKN,-19.302074038291362
240,N.C. Central,-19.562089242565573
241,Bucknell,-19.608389553298824
242,Gardner-Webb,-19.993111754130695
243,Lafayette,-20.061455165231408
244,MIS,-20.282713241390987
245,UTEP,-20.66730723627023
246,Tennessee Tech,-21.73901310088429
247,Stetson,-21.882819208514096
248,Butler,-22.608619452849027
249,Valparaiso,-23.45391303185349
250,STX,-23.548784042200438
251,TUS,-24.554566613862878
252,NH,-24.84055705104356
253,Davidson,-25.61099088460772
254,Hampton,-25.91691814487697
255,Delaware St.,-26.455545992393525
256,Alabama St.,-26.91727250488023
257,Robert Morris,-27.328244538449162
258,Texas Southern,-27.52361754966244
259,WES,-27.887706816667333
260,Presbyterian,-28.186825901958432
261,CCI,-28.66623485897121
262,Jacksonville,-28.667226339145056
263,MOR,-30.03859048845092
264,VIR,-31.093765636155908
265,BSU,-31.756515059326336
266,Ark.-Pine Bluff,-33.9313332006287
267,Morehead St.,-34.00386194371636
268,CLK,-34.32223350763261
269,Mississippi Val.,-36.44597975417137
270,CLA,-36.53768304140766
271,TAY,-37.05418420162125
272,SHO,-37.61254303725208
273,QUI,-38.09555552513963
274,UTPB,-38.875162145662145
275,CHO,-38.879040165679925
276,LIN,-39.408542813637894
277,COI,-43.00164251621288
278,FRA,-43.531407230193224
279,BRE,-44.558096180798394
280,MIL,-44.99641117397998
281,S&T,-45.44054510364627
282,MAR,-45.58346782522694
283,SWC,-46.11932922827604
284,LIM,-48.18102290232044
285,WAL,-48.52985420082922
286,SFIL,-49.18866631809512
287,LOC,-50.12395038977175
288,STAW,-50.56117819020783
289,JOH,-50.78449164187001
290,WALSH,-52.05848783120147
291,SHA,-52.50363506917489
292,GUI,-53.15209092597055
293,MWST,-56.61492413710625
294,BLU,-56.82222969160601
295,EDW,-57.40172482498955
296,WVW,-57.90431614666022
297,KYCH,-57.9411760729717
298,SWB,-58.21661761597307
299,TRN,-59.24575608741711
300,LYN,-60.12604264106764
301,MTS,-60.63418014282464
302,POINT,-62.29012460526751
303,STA,-63.24787389815897
304,OKP,-63.808159434323294
305,KYW,-64.8740896557528
306,LAC,-67.390644045227
307,KCU,-73.10915135396193
308,CUMB,-78.87407731390819
309,MTH,-79.82147281048788
310,LVI,-81.94849789964074
